,CustomerId,PipedriveId,ContractStartDateUtc,ContractEndDateUtc,Churned,NumberOfDaysActive,AmountTasksPerMonth,AmountTasksLastMonth,FirstPlanVariantId_Basic Plan,FirstPlanVariantId_Pro Plan,FirstPlanVariantId_WeightBet
1249,616f344e556907454589d8ac,15464.0,2021-10-19 21:10:38+00:00,2021-12-10 22:10:38+00:00,1,52,24.23076923076923,20,1,0,0
1250,616fe2715548e2da0778dd9a,15465.0,2021-10-20 09:33:37+00:00,2022-04-01 00:00:00+00:00,0,162,0.9259259259259258,0,1,0,0
1251,61709fdb5548e2da07808859,15467.0,2021-10-20 23:01:47+00:00,2021-12-16 00:01:47+00:00,1,56,0.0,0,1,0,0
1252,61714addf950d0792459d685,15471.0,2021-10-21 11:11:25+00:00,2021-12-02 11:11:25+00:00,1,42,0.0,0,1,0,0
1253,61717ff01822b033701ddc99,15472.0,2021-10-21 14:57:52+00:00,2021-12-16 15:57:52+00:00,1,56,0.0,0,1,0,0
1254,61718873f950d079245d4984,15473.0,2021-10-21 15:34:11+00:00,2021-12-02 15:34:11+00:00,1,42,0.0,0,1,0,0
1255,6171ab94fa56e13d55d77d57,15474.0,2021-10-21 18:04:04+00:00,2021-12-14 19:04:04+00:00,1,54,0.0,0,1,0,0
1256,6171b267ef44f7d363ed08b1,15475.0,2021-10-21 18:33:11+00:00,2021-12-16 19:33:11+00:00,1,56,0.0,0,1,0,0
1257,6171d1241822b033701e86b6,15476.0,2021-10-21 20:44:20+00:00,2021-12-16 21:44:20+00:00,1,56,0.0,0,1,0,0
1258,617251215a6389237e190bb0,15477.0,2021-10-22 05:50:25+00:00,2021-12-17 06:50:25+00:00,1,56,0.0,0,1,0,0
1259,6172553afa56e13d55dd9375,15478.0,2021-10-22 06:07:54+00:00,2021-12-17 07:07:54+00:00,1,56,0.0,0,1,0,0
1260,6172957b842f662cda32d7f9,15479.0,2021-10-22 10:42:03+00:00,2021-12-03 10:42:03+00:00,1,42,0.0,0,1,0,0
1261,61730b2346543f8b3825f145,15483.0,2021-10-22 19:04:03+00:00,2021-12-17 20:04:03+00:00,1,56,0.0,0,1,0,0
1262,61730f75f772637e0da1d08e,15484.0,2021-10-22 19:22:29+00:00,2021-12-17 20:22:29+00:00,1,56,0.0,0,1,0,0
1263,617311cecf61cdf623d7d4c6,15485.0,2021-10-22 19:32:30+00:00,2021-12-17 20:32:30+00:00,1,56,0.0,0,1,0,0
1264,617316aff772637e0da22856,15486.0,2021-10-22 19:53:19+00:00,2021-12-03 19:53:19+00:00,1,42,0.0,0,1,0,0
1265,61733da8f772637e0da3ed37,15488.0,2021-10-22 22:39:36+00:00,2021-12-03 22:39:36+00:00,1,42,0.0,0,1,0,0
1266,6173dce5f772637e0da985b8,15489.0,2021-10-23 09:59:01+00:00,2021-12-18 10:59:01+00:00,1,56,0.0,0,1,0,0
1267,6173f343842f662cda407851,15490.0,2021-10-23 11:34:27+00:00,2022-04-01 00:00:00+00:00,0,159,0.18867924528301888,0,1,0,0
1268,61741f877f01ccc914e47cda,15491.0,2021-10-23 14:43:19+00:00,2022-03-02 23:00:00+00:00,1,130,0.46153846153846156,0,1,0,0
1269,617458e1710e97043cc99d51,15492.0,2021-10-23 18:48:01+00:00,2021-12-18 19:48:01+00:00,1,56,0.0,0,1,0,0
1270,6175600e710e97043cd41657,15494.0,2021-10-24 13:30:54+00:00,2022-01-14 23:00:00+00:00,1,82,16.097560975609756,1,1,0,0
1271,617632ea46543f8b3843b48a,15495.0,2021-10-25 04:30:34+00:00,2022-04-01 00:00:00+00:00,0,157,25.03184713375796,0,1,0,0
1272,61767123ca39398a549231b8,15496.0,2021-10-25 08:56:03+00:00,2021-12-06 08:56:03+00:00,1,42,0.0,0,1,0,0
1273,6176a24b46543f8b384a945b,15498.0,2021-10-25 12:25:47+00:00,2021-12-06 12:25:47+00:00,1,42,0.0,0,1,0,0
1274,6176a9ecf772637e0dc6a738,15499.0,2021-10-25 12:58:20+00:00,2021-12-06 12:58:20+00:00,1,42,0.0,0,1,0,0
1275,6176ccebf772637e0dc904bd,15500.0,2021-10-25 15:27:39+00:00,2021-12-23 09:25:52+00:00,1,58,0.0,0,1,0,0
1276,6176deefd93b0da9cc5ea20f,15501.0,2021-10-25 16:44:31+00:00,2021-12-06 10:02:15+00:00,1,41,19.024390243902438,26,1,0,0
1277,6176e4d5ca39398a549425af,15502.0,2021-10-25 17:09:41+00:00,2021-12-20 18:09:41+00:00,1,56,0.0,0,1,0,0
1278,617702b6f772637e0dcb9954,15503.0,2021-10-25 19:17:10+00:00,2021-12-20 20:17:10+00:00,1,56,0.0,0,1,0,0
1279,617703b346543f8b384ffbe5,15504.0,2021-10-25 19:21:23+00:00,2021-12-06 19:21:23+00:00,1,42,0.0,0,1,0,0
1280,61784e64f772637e0dda5f1e,15506.0,2021-10-26 18:52:20+00:00,2021-12-07 18:52:20+00:00,1,42,0.0,0,1,0,0
1281,6178959f46543f8b38615094,15507.0,2021-10-26 23:56:15+00:00,2021-12-07 23:56:15+00:00,1,42,0.0,0,1,0,0
1282,6179497aca39398a549b1419,15509.0,2021-10-27 12:43:38+00:00,2021-12-08 12:43:38+00:00,1,42,0.0,0,1,0,0
1283,6179938fc844854d34734df3,15510.0,2021-10-27 17:59:43+00:00,2021-12-08 17:59:43+00:00,1,42,0.0,0,1,0,0
1284,6179ab9ef772637e0deb13a3,15511.0,2021-10-27 19:42:22+00:00,2021-12-08 19:42:22+00:00,1,42,0.0,0,1,0,0
1285,617abaaaf772637e0df8cb00,15513.0,2021-10-28 14:58:50+00:00,2021-12-09 14:58:50+00:00,1,42,0.0,0,1,0,0
1286,617b09a0f543d357836738df,15514.0,2021-10-28 20:35:44+00:00,2022-04-01 22:00:00+00:00,1,155,6.580645161290322,0,1,0,0
1287,617b48ca46543f8b38826c81,15515.0,2021-10-29 01:05:14+00:00,2021-12-10 01:05:14+00:00,1,42,0.0,0,1,0,0
